method,query_id,source,math_verify_correct,truncated,generated_tokens,error
vanilla,aime24:2347acb5eb3b35f1aa81bb03fa72115a21175fe3c04f58b7d13191b67531cd47,aime24,True,False,2333,
vanilla,aime24:2ae7df54989b82f448fff0d86e5d1996f777a9f6100bbbe8a6fb99ebe661bc4a,aime24,True,False,2873,
vanilla,aime24:2ee7203cbfbc18d4308cd9177214f29508e97536a970213b931c82159e2a2eb4,aime24,True,False,6212,
vanilla,aime24:357603fe2192e4dc2b2a52cc90ade2f1f6a3fd452ceec23c194e28a3748e579b,aime24,True,False,6677,
vanilla,aime24:3c4b599aa92bcd8347ba4bbf4a1bf1fc265c43dd6cc93810df56af814fc2a619,aime24,False,True,10240,
vanilla,aime24:40de3e36fcb84aa58186509525206fca18fae251bef3cf8621d8adfabbefca89,aime24,True,False,1940,
vanilla,aime24:43afc8d2eb636c35477cc9ac8f1db3563134d10673beb9fb808c45dbc3021e51,aime24,True,False,3944,
vanilla,aime24:4827451ee78b173fce0a2b248a10c01442ec7346d87aba46c59a0ad1218f71ed,aime24,False,False,5105,
vanilla,aime24:4ac3065bc26a845b46441d6ac16384a62e01f9a7c595720272bbc0b316201e6d,aime24,True,False,1825,
vanilla,aime24:5650d2a0767a53a577e51aab7a9b3cafb4f91562ad2544bb088c6cfc577cf364,aime24,True,False,5556,
vanilla,aime24:692d35427467a74f07dff2b65afbcc2874995945b5ee044320ff04af46ca3187,aime24,True,False,6883,
vanilla,aime24:6c7d2070f985c4e7be6467b4bf365f372d64e3b314183113880bb2e4a07f32c2,aime24,False,True,10240,
vanilla,aime24:7d2b9ecfeeda92b9e2676414566a0300c9239ff15fac1139ad56d6c35c9d84fc,aime24,True,False,1653,
vanilla,aime24:7f3d2be0982807560fb814e16f111ef6e38f04e32a108355530732c9c64c22fb,aime24,True,False,5987,
vanilla,aime24:84c96fbdf01d054c94a152f4fd61e85a4fa70b03eb73d8fd8149760b1cf077eb,aime24,True,False,1642,
vanilla,aime24:89a3d7b0f4c73a63119f6c1a2bec8ed68f39a8f5d4a3e5ebb12d89eb8b47e857,aime24,False,False,5419,
vanilla,aime24:b0dd5c5ca3f5c6fe3279b6b867b1f47095cae459cf46b917119fc337d2d5298a,aime24,False,False,3546,
vanilla,aime24:bb57bbb4f19d36094fcb0392d8ef63461045fac1aa02c1bc063102c072f3452a,aime24,True,False,4580,
vanilla,aime24:c0aff28b8c4a645b43550e5d0d3fabf80ff7528b406514fcd898152683edce36,aime24,True,False,2211,
vanilla,aime24:d03cff1d2f5fa63a31ab545f733b29d3e01b55cb8d23ec42d137ca54371d6ac8,aime24,True,False,2128,
vanilla,aime24:d7b202873c9ff78edfbcd97652c0093c68f53f7582c9b20614780fe7288a87a7,aime24,False,True,10240,
vanilla,aime24:d7c47fba84b4bcd1b0fac5a069b1924a7827f3b015be620b42ae4c4e729d33b3,aime24,True,False,2137,
vanilla,aime24:d8c514307d5e703048cb5b6165cf10c78d771e2166f107f48b586d9289d2e736,aime24,False,True,10240,
vanilla,aime24:d965cc0c83096dce50f756ecdd29990c906370987a63d3a8d0fd03d875ac6b3b,aime24,False,True,10240,
vanilla,aime24:f785f38899d11791997f4c396dcf950e2979673d372c77988fd0379684b00927,aime24,True,False,2247,
vanilla,aime24:ff87a2102c1306454be6971f889b8bdc3029ec474c559e919e00233bcb4bb41f,aime24,False,False,4942,
vanilla,aime25:07ac5ca7cecdf07567088089e7d3f0ea83adaa28d2a1fd7889c063fd1f37ccd3,aime25,False,True,10240,
vanilla,aime25:12f6b189436fb26a05fb496fe738000647c1cb210b7c9f446b3338be418ff094,aime25,False,True,10240,
vanilla,aime25:1352bde57c17a969982b9342711da1bea4dbabf0221ae015d0c206ec2f9e30f6,aime25,True,False,4948,
vanilla,aime25:1a1a3f553410c1d0a02789bf64215b5d8094b0d3b95bf01d2961177e8982b48b,aime25,True,False,3557,
vanilla,aime25:3f8dfc841f2252d6ead5580eb868d9b1353e17853624fb86cb19d062e5f5ca4d,aime25,False,False,6736,
vanilla,aime25:5929f4e54395fb2b0307ee301f378585b1ab7198464ade7e5b24d85fe997ba64,aime25,False,True,10240,
vanilla,aime25:596ba4660f86c56a92b3ee64c2caf803865c1589deb8c2a1a6e471ed83695401,aime25,True,False,4612,
vanilla,aime25:5997376b7b910b0e745067c7631f89d007c8f520a11ba656e15181eb0d45e3ab,aime25,True,False,5292,
vanilla,aime25:656d1b5d0105f71eb14aced1dfa5b1eaa8d9a087cc8e434da877ad2c01870de5,aime25,True,False,8640,
vanilla,aime25:70629b6e7c5db3e713f2672a9355856d2fc7b17285add34b1f7fd1d289c9e173,aime25,False,False,5125,
vanilla,aime25:7528e62e74eabdd96e6c6e3f542e9076010c55bf9be70e28509b4c8672b20141,aime25,True,False,5841,
vanilla,aime25:755f37ac64c45cd71e3e6d556bed121a74b02b22dca1855b3d76ce7e44e1964b,aime25,True,False,3588,
vanilla,aime25:757329975fcc4a0df83dd88a44c25217dc18c4aab9c3e2b3c4efe98ef4fcb22b,aime25,False,True,10240,
vanilla,aime25:951031f375bc05ca792f45e75f51e81f67054c08c48c30225d3c269cba80e733,aime25,False,False,6691,
vanilla,aime25:9592e82151960bdda3419ee55f677a8fb7a54bbbc762295146f0c43653c7ae08,aime25,True,True,10240,
vanilla,aime25:981c7f2ec58bbc629a520abdcc2d49c69ec86d2c6b2bc574b71d50c2d1dcce0e,aime25,True,False,2226,
vanilla,aime25:9bfdf6197204f5f62f8d1bd46d08dc4f00be90edec9bfce1ac2b64bbc25d4c6e,aime25,False,True,10240,
vanilla,aime25:9cbaa17c63e148e9e5181c863126a70357a4b57665ac2bc0c18e7f62d1d02ae7,aime25,True,False,1415,
vanilla,aime25:a3145c72cb6b4a78a74d3e97d669d29a5eeb277efb9f6492e9873d0d3fbfd0c4,aime25,True,False,1049,
vanilla,aime25:a7f58aabb0a8393f9c5d00fb3ba6df269ecd0fca3e5f447b0402ab0facb6d3ad,aime25,True,False,3298,
vanilla,aime25:aa6399130b64e6a0447fc114a07afb7125a71237472ea6f12051bf36f62f9d77,aime25,True,False,1779,
vanilla,aime25:b552420b5a189e451a355947aa0e6b76fa645c8c58a515706f995299cb7738bf,aime25,True,False,4826,
vanilla,aime25:ca1a4c4ffd58d84af5848729c0a56fb0a727efc3ca9c79d36ba46d719d5f72e1,aime25,True,False,1376,
vanilla,aime25:cc2ed8965f94de942349cffa030efc9816ce451789fc245ad4abcbc009819e1a,aime25,False,True,10240,
vanilla,aime25:dac11627201ea0d253903fcee1537661ca88b83499fea9d02a7d596af79550ab,aime25,False,False,8316,
vanilla,aime25:e93030b1d230e502eae5dddccd7842785712efef67c817d1a3d99f7a66ac2c6a,aime25,True,False,2780,
vanilla,aime25:ed910555a62ce77895b83babe2779d049772d20cc13c1fdcecc116d97abd9ae4,aime25,True,False,6351,
vanilla,aime25:edc7cd228836a0fe7ec28eaf718b0f93933984b9e36768f3d553abeecce353c8,aime25,False,True,10240,
vanilla,aime25:f2ead5cf02d541329d51e629025732cf868971ff770386f961aaab39eed0b172,aime25,True,False,5005,
vanilla,aime25:f502486d6092e47973970eaee0e8bfc2dc22ea4bd094533958b5ea71683c67cf,aime25,False,True,10240,
